x,y
1,4.0
1,2.0
1,3.0
9,4.666666666666667
10,3.8
1,2.0
4,2.0
11,3.3636363636363638
1,2.0
7,4.857142857142857
1,2.0
19,3.6842105263157894
19,4.421052631578948
1,2.0
8,4.125
9,3.888888888888889
10,3.3
1,2.0
4,5.75
1,2.0
6,7.333333333333333
2,3.0
1,2.0
20,5.6
7,3.2857142857142856
6,4.833333333333333
10,3.5
2,6.5
1,4.0
4,2.25
8,6.125
8,5.625
19,4.368421052631579
3,6.0
1,6.0
1,2.0
13,4.923076923076923
6,3.0
9,3.4444444444444446
1,2.0
11,6.636363636363637
8,4.0
26,4.653846153846154
1,3.0
5,3.6
1,7.0
1,7.0
1,7.0
1,3.0
13,4.230769230769231
4,3.5
2,5.0
1,3.0
29,3.7241379310344827
8,3.625
2,2.5
1,3.0
1,3.0
1,3.0
2,1.5
1,2.0
1,2.0
1,5.0
1,2.0
13,3.3076923076923075
18,4.5
3,3.6666666666666665
1,2.0
11,3.8181818181818183
9,4.111111111111111
3,3.3333333333333335
1,2.0
10,4.5
1,2.0
1,2.0
1,2.0
3,5.0
1,2.0
3,5.333333333333333
8,3.625
1,2.0
3,4.333333333333333
12,3.0833333333333335
1,2.0
2,2.5
28,3.357142857142857
5,4.4
6,2.8333333333333335
13,3.4615384615384617
7,3.2857142857142856
10,4.2
2,4.0
1,2.0
2,7.0
1,2.0
5,4.4
1,5.0
4,3.75
2,2.5
1,2.0
2,4.5
6,2.8333333333333335
6,3.6666666666666665
2,4.0
10,4.5
2,7.0
2,2.5
8,4.375
11,4.363636363636363
12,4.75
7,5.0
5,3.8
7,5.571428571428571
1,5.0
1,5.0
1,5.0
1,4.0
1,5.0
2,3.0
24,3.5
1,2.0
6,4.166666666666667
9,5.666666666666667
12,3.1666666666666665
10,3.7
6,3.3333333333333335
12,3.3333333333333335
2,4.5
9,4.111111111111111
13,3.769230769230769
4,3.75
8,4.0
5,3.8
3,3.0
6,3.8333333333333335
21,4.190476190476191
4,6.25
1,5.0
1,2.0
4,2.75
1,3.0
1,3.0
10,3.6
9,3.6666666666666665
14,3.7857142857142856
1,2.0
4,6.5
17,4.529411764705882
1,2.0
9,5.555555555555555
1,2.0
7,2.2857142857142856
10,5.2
1,2.0
1,4.0
12,4.416666666666667
1,2.0
1,4.0
1,2.0
2,3.5
15,3.7333333333333334
8,4.625
1,2.0
1,3.0
7,3.857142857142857
6,4.0
1,2.0
2,6.5
9,5.111111111111111
1,2.0
4,3.5
3,3.3333333333333335
4,2.5
1,2.0
2,5.0
1,2.0
1,10.0
1,10.0
14,3.9285714285714284
4,4.0
8,4.75
5,4.2
3,5.666666666666667
7,3.2857142857142856
14,3.7857142857142856
4,4.75
17,3.9411764705882355
14,4.571428571428571
3,3.6666666666666665
17,4.0588235294117645
1,6.0
1,3.0
1,3.0
9,4.444444444444445
2,2.5
7,5.0
18,4.277777777777778
6,3.5
11,4.909090909090909
21,3.380952380952381
6,4.0
2,6.5
2,2.5
9,3.7777777777777777
1,4.0
